F0,"(s,t)",OPT,WE
0.95,"(0, 1)",0.9355157586822649,0.8725240753687309
0.95,"(0, 2)",0.9666663397455111,0.9507113243108946
0.95,"(0, 3)",0.9188883008445231,0.9032662522434385
0.95,"(0, 4)",0.9355045619659275,0.8771323635727866
0.95,"(0, 5)",0.9403951314380203,0.898165735107018
0.95,"(0, 6)",0.926593352608606,0.8711077120899222
0.95,"(0, 7)",0.924841982270942,0.8800914035063409
0.95,"(1, 2)",0.9360686596364453,0.8751494161303424
0.95,"(1, 3)",0.9344440728536304,0.9069926820864512
0.95,"(1, 4)",0.9511104188201568,0.9160879633361753
0.95,"(1, 5)",0.9511103082568088,0.9072015679805834
0.95,"(1, 6)",0.9364939883653131,0.8702237396703298
0.95,"(1, 7)",0.934998773368928,0.9048567336426476
0.95,"(2, 3)",0.9198363748396245,0.874025534969852
0.95,"(2, 4)",0.9360682681662469,0.8920606663449363
0.95,"(2, 5)",0.9551883985946829,0.9165201082803769
0.95,"(2, 6)",0.9403254046216416,0.8987209037666678
0.95,"(2, 7)",0.9390758203481012,0.9021220817147801
0.95,"(3, 4)",0.9499995564216933,0.9499035020144355
0.95,"(3, 5)",0.9344438565176466,0.9057886886293768
0.95,"(3, 6)",0.9193979596298971,0.8680435017807236
0.95,"(3, 7)",0.9194056713078343,0.8686184720711178
0.95,"(4, 5)",0.9511100836584849,0.9099122535485635
0.95,"(4, 6)",0.9364857342988647,0.8752244663817358
0.95,"(4, 7)",0.9349975039708731,0.8909773524159446
0.95,"(5, 6)",0.9710367886138941,0.9531452385817207
0.95,"(5, 7)",0.9442256475519036,0.904749212144907
0.95,"(6, 7)",0.9551891809027718,0.9237752225939264
