F0,"(s,t)",btN,minimization,x,path fidelity
0.95,"(0, 1)",0.934444588290311,-1.0175267357044672e-16,"[1.00000001e+00 9.99467429e-01 2.66280265e-04 5.14087386e-07
 2.37404770e-15 2.65769333e-04 3.67697662e-15 4.97518477e-14
 3.62155359e-07 2.66246431e-04 6.24200371e-14 2.38844063e-14
 9.99733349e-01 4.42257705e-08 1.27811124e-14]","[np.float64(0.9499999958443283), np.float64(0.9499999989868247), np.float64(0.9024859427734908), np.float64(0.9024844791219402), np.float64(0.8597764108114454), np.float64(0.9024859418290875), np.float64(0.8597777777777763), np.float64(0.9490905129174838), np.float64(0.9033318683270752), np.float64(0.9999999984558748), np.float64(0.9490920811155726), np.float64(0.949092080103712), np.float64(0.9033333329338574), np.float64(0.9999983171470712), np.float64(0.9490905139293421)]"
0.95,"(0, 2)",0.9507188284478806,-0.0005456207769543825,"[1.38343534e-14 2.76199693e-15 1.25852683e-18 9.42999941e-01
 1.08250498e-14 1.45743541e-15 9.62872076e-01 0.00000000e+00
 6.55418779e-15 1.02002466e+00 2.74999737e-02 2.74999312e-02
 1.91034133e-02]","[np.float64(0.935613266658632), np.float64(0.9142473761738263), np.float64(0.914238281030667), np.float64(0.9507845046804433), np.float64(0.9142473683215343), np.float64(0.9142382731784824), np.float64(0.9504929504945431), np.float64(0.9381554731530486), np.float64(0.9381554812879664), np.float64(0.9508616614292622), np.float64(0.9508519237087261), np.float64(0.950851931993733), np.float64(0.9508520649485318)]"
0.95,"(0, 3)",0.9149386433079582,-1.5144047796438237e-09,"[9.91869860e-01 2.43001271e-17 3.20294679e-16 1.23110565e-05
 3.74301184e-08 9.84555229e-01 2.96838880e-22 1.83917973e-16
 8.12606504e-03 0.00000000e+00 1.54380791e-02 9.99998419e-01
 1.47490802e-15 3.91930759e-16]","[np.float64(0.9035112444330429), np.float64(0.8943586517751372), np.float64(0.8981562684554121), np.float64(0.9034185321809626), np.float64(0.9036035174250603), np.float64(0.9035107920824066), np.float64(0.8944496324602258), np.float64(0.89824778534773), np.float64(0.9329276019443021), np.float64(0.9426280352949167), np.float64(0.9425297736268075), np.float64(0.9369525300575805), np.float64(0.9385698537913569), np.float64(0.9384721678488374)]"
0.95,"(0, 4)",0.934444585956824,-1.0978630958838587e-16,"[2.70268026e-04 0.00000000e+00 9.25812424e-16 9.99729728e-01
 9.99729719e-01 2.57599797e-15 3.57066492e-06 2.15160304e-15
 2.66700592e-04 2.41772989e-06 3.64245631e-15 2.70314629e-04
 9.99727282e-01 2.49107168e-14 0.00000000e+00]","[np.float64(0.9024732523731269), np.float64(0.9024732423835065), np.float64(0.9024637264721553), np.float64(0.9499999999999994), np.float64(0.9499999892827259), np.float64(0.8597688845528895), np.float64(0.9024637364616301), np.float64(0.8597777777777763), np.float64(0.9024732523731269), np.float64(0.9033238005230502), np.float64(0.9490682844060547), np.float64(0.9999999835177189), np.float64(0.9033333289782227), np.float64(0.9490784800254476), np.float64(0.9999890452402649)]"
0.95,"(0, 5)",0.9071659875710663,-2.5922328461321207e-13,"[1.38444097e-12 1.13603889e-14 2.56780772e-01 1.68182148e-12
 4.85398860e-02 4.23894118e-02 2.61427205e-01 3.72272274e-12
 7.29929103e-13 3.94335463e-13 2.27420166e-12 1.91822874e-12
 6.29621625e-02 9.34196669e-01 1.39370389e+00]","[np.float64(0.8687795580660616), np.float64(0.8832107404510443), np.float64(0.8984795498224105), np.float64(0.8837003838061287), np.float64(0.9161031046534657), np.float64(0.9316379672150229), np.float64(0.8981895828524823), np.float64(0.8834170253252254), np.float64(0.8908154725467351), np.float64(0.8762109745989373), np.float64(0.8905289325611514), np.float64(0.8759309649997296), np.float64(0.9082307428048468), np.float64(0.9235820060729932), np.float64(0.898342878121477)]"
0.95,"(0, 6)",0.8900867347823415,-4.313614552075281e-16,"[4.50729325e-15 2.93263392e-01 7.09874456e-15 3.92136994e-01
 4.15076595e-17 6.59958888e-02 8.24313319e-02 1.24528300e-18
 7.27448828e-14 3.07292426e-16 9.17561847e-01 6.24305295e-01
 9.99316535e-16 6.46856990e-19 6.24305251e-01]","[np.float64(0.837093980614123), np.float64(0.8927144600111925), np.float64(0.8548985360924166), np.float64(0.874969521532124), np.float64(0.9099546271053665), np.float64(0.8711243291717772), np.float64(0.8887615946182574), np.float64(0.8511782487201439), np.float64(0.9058957300854571), np.float64(0.8673042488433366), np.float64(0.8711257922448439), np.float64(0.9292227527233493), np.float64(0.8147165563760009), np.float64(0.799964318278253), np.float64(0.889258760096763)]"
0.95,"(0, 7)",0.8881420934222644,-1.9710205989520874e-11,"[1.06512799e-16 7.57787663e-15 4.09930824e-01 3.69802344e-06
 1.13043201e-09 3.76384015e-01 7.70102002e-16 7.10189059e-09
 8.18808599e-01 1.81191478e-01 1.81167726e-01 2.81724169e-15
 3.27132733e-17 1.03251365e+00]","[np.float64(0.8498720807051626), np.float64(0.8392545326333537), np.float64(0.8803758810160143), np.float64(0.9066555193772721), np.float64(0.8950329222138718), np.float64(0.8812557990192613), np.float64(0.8771855028299862), np.float64(0.8780609675042154), np.float64(0.9033321380299724), np.float64(0.8917683636762193), np.float64(0.8917749994590942), np.float64(0.8660887356671829), np.float64(0.8669487107811378), np.float64(0.8804157828407245)]"
0.95,"(1, 2)",0.935555551449594,0.0,"[1.10946143e-08 9.99999391e-01 0.00000000e+00 0.00000000e+00
 5.87103655e-07 1.00000002e+00 0.00000000e+00 2.14588687e-10
 5.86591221e-11 6.93766291e-11 9.99999982e-01 0.00000000e+00
 2.21854464e-10 0.00000000e+00 1.24050817e-08]","[np.float64(0.9499999717430982), np.float64(0.9033333333333323), np.float64(0.8597777777777763), np.float64(0.8597768872712493), np.float64(0.9033323792191962), np.float64(0.9999999849578989), np.float64(0.9499999752210304), np.float64(0.9033333102062946), np.float64(0.9033323560921922), np.float64(0.9499989529559209), np.float64(0.9033333333333323), np.float64(0.9033323528461268), np.float64(0.9499999999999994), np.float64(0.9033333069602244), np.float64(0.9499989777348535)]"
0.95,"(1, 3)",0.909142793719631,-5.919370724393785e-18,"[1.05678408e+00 2.92328197e-22 1.48975660e-01 1.76440811e-10
 3.22819455e-06 9.99995227e-01 8.55160401e-17 9.21195839e-21
 7.67098948e-19 4.17105738e-17 5.93666083e-15 7.94241804e-01
 4.16731444e-17]","[np.float64(0.9123869649990732), np.float64(0.9081193352727859), np.float64(0.908119335555587), np.float64(0.908114160809123), np.float64(0.908114161091922), np.float64(0.9073862878795895), np.float64(0.90649253382028), np.float64(0.9072245845938398), np.float64(0.9072245848762565), np.float64(0.9072297520631538), np.float64(0.9064976955337993), np.float64(0.9072297523455728), np.float64(0.906497695251695)]"
0.95,"(1, 4)",0.918704251511554,-0.00026608710300895496,"[6.22112293e-01 7.28815768e-02 3.07442735e-07 3.18911011e-14
 1.93272369e-13 1.30500572e+00 5.98084778e-02 6.31952052e-15
 9.40670521e-15 8.64802601e-15 9.27007747e-01 1.32745718e-06
 1.31825464e-02]","[np.float64(0.9161860631226413), np.float64(0.9165072300937064), np.float64(0.9092924608075161), np.float64(0.9044385592169331), np.float64(0.9116002112870232), np.float64(0.916506791256883), np.float64(0.9165066099779772), np.float64(0.8789646969613613), np.float64(0.8836296616093098), np.float64(0.8935100669527276), np.float64(0.9238003251416878), np.float64(0.8982829130718125), np.float64(0.9188396124620148)]"
